Author,Goal,Stimulator ,Stimulation site,Pulse type,Waveform,intended intensity,Phase pulse Width (usec),Biphasic pulse Width (usec),Cycle frequency (Hz),Max Amp (mA),Pulse train duration (sec),Elec surface (cm2),Duty Cycle (% On),Max current Density [mA/cm2]
Abdelatief (2020),Facial Paralysis/Weakness Treatment,"Medserve.Ltd, Prostim / ET3000, S/N:0314",Middle Face,Monophasic,Square,Muscle Contraction,,,100,,30,48,,
Abraham (2016),Other,,Middle Face,,,,,,3,,,,,
Alakram (2010),Facial Paralysis/Weakness Treatment,EV-803 Digital SD TENS ,Upper and Middle Face,,,Muscle Contraction,10,10,10,,600,,,
Alyassiri (2019),Facial Paralysis/Weakness Treatment,,,,,,,,,,,,,
Baad-Hansen (2006),Pain relief/induction,,Lower Face,,,Pain Threshold,300,300,333,1,0.01,,,
Baad-Hansen (2006),Blink reflex,,Lower Face,,,Pain Threshold,300,300,333,1.18,0.01,,,
Baduni (2017),Other,,Middle Face,,,,,,80,,720,,,
Baijens  (2008),Pain relief/induction,VitalStim¬Æ Therapy,Upper and Middle Face,,,Muscle Contraction,700,700,80,17.5,,,,
Benoliel (2011),Other,,Middle Face,Monophasic,,Sensory Threshold,,,200,,,0.5,,
Bergenheim (1991),Pain relief/induction,ISSAL 1412,,,,Pain Threshold,,,,25,,,,
Bischoff (1993),Pain relief/induction,,,,,,,,,,,,,
Boelhouwer (1982),Blink reflex,,Upper Face,Monophasic,Square,,100,100,0.1,,,,,
Boiardi (1975),Other,Multistim DISA,Upper Face,,Square,,50000,50000,1,,,,,
Borodic (1991),Other,,Upper Face,,,Muscle Contraction,100,100,1,,,0.03,,
Bour (2000),Blink reflex,,Upper Face,,,Muscle Contraction,,,,20,,,,
Cacho (2022),Pain relief/induction,Enraf Nonius S82,Upper and Middle Face,,,,,,220,,180,9.6,,
Casanova-Molla (2011),,,Middle Face,,,Muscle Contraction,,,,,,,,
"Chia, Lie-Gan",Blink reflex,,Upper Face,,,,,,,,,,,
Choi (2016),Facial Paralysis/Weakness Treatment,Vitalstim,,Biphasic,,Muscle Contraction,350,700,80,14,1800,,,
Conte (2010),Other,,,,Square,,200,,,,3600,,,
Conti (2014),Pain relief/induction,"GrindCare, Medotech A/S",Upper Face,,,,,,,,,,,
Cui (2021),Facial Paralysis/Weakness Treatment,"NT6021, Dundex",Upper and Middle Face,Biphasic,Square,Sensory Threshold,100,200,20,20,600,3.8,0.4,0.33
Currier (1963),Cosmetic,,"Upper, Middle, and Lower Face",,,,500000,,,,,,,
da Silva (2022),Cosmetic,"TONEDERM, Fortis model M40",Middle Face,,,,,,,,5,,,
De Giorgi (2017),Pain relief/induction,"NeuroTrac¬Æ TENS (Verity Medical Ltd., Farley Lane, Braishfield, Hampshire, UK)",,Biphasic,,,50,,50,,3600,,,
"de Sire (de Sire et al., 2022)",Facial Paralysis/Weakness Treatment,Imperium 400,"Upper, Middle, and Lower Face",,,,,,,,900,,,
de Tommaso (2001),Blink reflex,,Upper Face,,,,100,,,60,,,,
Didier (2019),Pain relief/induction,Myomonitor,,,,,500,,0.66,,2700,,,
El-Ebiary (1971),Facial Paralysis/Weakness Treatment,,Upper Face,,Square,,100,,2,,,,,
Eliav (2003),Other,,"Upper, Middle, and Lower Face",,,,,,200,,,0.5,,
Esteban & Prieto (1999),Blink reflex,,Upper Face,,,,,,,65,,,,
Farrotonato (2022),Other,,Upper and Middle Face,,,,,,,,2700,,,
Ferreira (2017),Pain relief/induction,"Neurodyn Sapphire Compact Line, by Ibramed¬Æ",Upper and Middle Face,,,,100,,100,,1500,7,,
Ferreira (2004),Other,,,,,,,,,,,,,
Findler and Feisod (1982),Other,Nicolet CA-1000 - Constant Current,Lower Face,,,Sensory Threshold,,,30,20,0.02,0.03,,
Fisch (1980),Other,,,Biphasic,,Sensory Threshold,,,,,0.02,0.07,,
Fukumoto (2001),Other,"Trio-300, Ito Physio-Therapy and Rehabilitation Constant current / constant voltage modes",Upper and Middle Face,,,,60,60,100,,1800,,,
Gandiglio & Fra (1967),Other,"MS3R MEDELEC apparatus (Gandiglio & Fra, 1965).",Middle Face,Biphasic,Square,Sensory Threshold,,,,,0.1,,,
Goto (2018),Emotion/Mood modulation,Custom,Middle Face,,,,,,,,7.07,,,
Geissler & McPhee (1986),Pain relief/induction,"The TENS Pulsar (TENS Pulsar, Spembly Ltd, Newbury Road, Andover, Hants., UK)",Middle Face,,,Pain Threshold,,,20,,1800,,,
Gittins (1999),Other,"Model 120Z; ITO, Tokyo, Japan Constant current / constant voltage modes",Upper Face,,,,200,200,200,,1,2.54,,
Gunduz (2016),Other,,Upper and Lower Face,monophasic,,Muscle Contraction,,,,20,,,,
Haginomori (2008),Other,,Lower Face,Biphasic,Square,Muscle Contraction,200,200,1,,,0.6,,
Hansson,Pain relief/induction,,,,,Pain Threshold,,,100,,2700,17.5,,
Hansson (1984),Pain relief/induction,Cefar SIII,"Upper, Middle, and Lower Face",monophasic,Square,Pain Threshold,200,200,100,,0.08,6,,
Hansson & Ekblom (1983),Pain relief/induction,Cefar SIII,"Upper, Middle, and Lower Face",monophasic,Square,Pain Threshold,200,200,2,,1800,6,,
Hyvärinen (2008),Other,"(Prizm Medical Inc., Duluth, GA)",Middle and Lower Face,monophasic,,Sensory Threshold,100,100,20,,,2.5,,
Ilves (2019),Other,custom,Upper and Middle Face,Biphasic,Square,Muscle Contraction,400,800,250,10,0.08,1.5,20,2.98
Ilves (2020),Other,custom,Upper Face,Biphasic; (polyphasic),Square; (Sine wavelet),Muscle Contraction,400,800,250,48,1,1.5,20,14.31
Jadidi (2011),Other,,Lower Face,,Square,Muscle Contraction,,,220,,,0.5,,
Kapadia (2019),Emotion/Mood modulation,Complex Motion,Middle Face,Biphasic,,Muscle Contraction,75,150,60,15,15,,,
Kavanagh (2012),Cosmetic,Slendertone,Middle Face,,,,100,100,70,35,,,,
Kim (2000),Other,Neurometer CPT by Neurotron Inc. constant current,Middle and Lower Face,,,Sensory Threshold,,,250,20,300,0.5,,
